sender,receiver
126,125
126,127
126,128
126,129
126,130
124,122
111,109
111,112
111,108
111,110
111,107
121,120
121,114
121,117
121,122
121,110
107,110
107,112
107,104
107,101
107,114
130,125
130,127
130,128
130,112
130,126
118,117
118,113
118,101
118,111
118,114
101,104
101,106
101,118
101,110
101,111
113,114
113,118
113,117
113,110
113,112
120,121
120,123
120,122
120,124
120,114
109,111
109,108
109,112
109,106
109,104
104,101
104,112
104,110
104,108
104,107
106,101
106,104
106,110
106,108
106,109
128,125
128,126
128,130
128,123
128,101
119,114
119,113
119,110
119,104
119,115
129,130
129,125
129,127
129,126
129,123
125,127
125,128
125,126
125,130
125,123
112,111
112,109
112,104
112,107
112,113
116,115
116,118
116,117
116,114
116,113
115,116
115,113
115,109
115,106
115,101
103,102
103,105
103,104
103,106
103,115
122,124
122,123
122,121
122,120
122,129
123,120
123,124
123,122
123,121
123,127
,
