sender,reciever
126,103
124,106
111,101
111,112
111,118
111,106
121,116
121,111
121,120
121,101
121,104
107,101
107,104
107,112
130,101
118,101
118,107
118,106
118,109
101,106
101,111
101,107
101,104
101,118
113,111
113,118
113,101
113,123
120,101
120,106
120,124
109,101
109,111
109,112
109,120
109,124
104,104
104,101
104,111
104,112
106,101
106,104
106,111
106,107
128,101
128,107
128,111
128,112
119,101
119,106
119,111
119,112
119,104
129,101
125,112
125,101
125,104
125,111
125,107
112,101
112,111
112,122
112,104
116,101
116,118
116,120
116,107
116,130
115,101
115,106
115,113
115,120
103,104
103,101
103,111
103,120
122,120
122,123
122,121
122,125
122,124
123,101
123,106
123,112
