sender,reciever
126,122
124,123
111,116
111,130
111,106
111,115
121,121
121,116
121,118
121,119
121,101
107,106
107,101
107,111
107,109
130,128
130,111
130,120
118,111
118,112
118,116
101,109
101,111
113,116
113,106
113,120
113,111
120,121
120,122
120,123
109,106
109,103
109,118
109,120
104,116
104,115
104,106
106,101
106,118
106,104
128,101
128,106
128,125
128,126
119,101
119,106
119,112
119,116
119,113
129,116
125,116
125,128
125,123
125,101
112,111
112,101
112,116
112,113
116,120
116,118
116,111
115,111
115,113
115,116
115,106
103,111
103,106
103,120
103,118
