sender,reciever
126,123
124,122
111,106
111,112
111,109
121,112
121,123
121,112
107,123
118,101
118,113
118,104
118,112
101,104
101,107
101,118
101,113
113,107
113,122
120,123
120,122
120,112
109,101
109,118
109,107
109,120
104,101
104,119
104,109
106,111
106,109
106,104
128,125
128,130
128,123
128,112
128,111
119,112
119,128
119,106
129,115
129,130
125,123
125,130
112,111
112,113
112,104
112,124
116,104
116,106
116,111
115,116
115,107
115,109
115,113
115,106
103,104
103,106
103,111
122,123
122,121
122,120
122,124
122,125
123,120
123,113
123,106
123,111
