sender,reciever
126,123
111,112
111,101
111,106
111,109
121,101
121,112
121,120
107,118
107,113
107,112
107,124
118,101
118,106
118,113
101,107
101,111
101,106
101,104
113,111
113,106
113,119
120,121
120,123
120,124
109,106
109,111
109,112
109,101
109,104
104,101
104,106
106,101
106,111
106,109
106,113
128,101
128,126
128,123
128,125
128,130
119,112
119,107
119,124
129,112
125,123
125,101
125,128
112,111
112,107
112,104
112,101
116,106
116,115
116,101
115,101
115,116
115,106
115,111
103,104
103,101
122,120
122,123
122,125
122,124
122,121
123,120
123,112
123,126
123,128
