sender,reciever
126,123
124,122
111,112
111,109
121,125
121,123
121,101
121,119
107,101
107,106
107,112
118,101
118,113
118,111
101,104
101,118
101,106
101,107
120,121
120,123
120,124
120,122
109,111
109,112
109,106
104,101
104,112
104,107
106,101
106,104
106,109
128,125
128,101
128,123
128,130
119,104
119,106
119,111
129,116
129,115
129,130
129,125
125,128
125,123
125,130
125,116
112,111
112,101
112,107
112,104
116,115
116,107
116,113
115,116
115,106
115,109
115,113
115,107
103,104
103,101
122,120
122,121
122,122
122,124
122,123
123,120
123,125
123,128
123,115
