sender,reciever
126,123
124,122
111,112
111,109
111,101
121,106
121,120
121,122
107,101
107,104
107,112
107,111
130,125
130,112
130,111
130,128
118,113
118,101
118,111
118,112
101,104
101,106
101,118
101,111
101,107
113,118
113,123
120,121
120,123
120,122
120,124
109,112
109,111
109,107
104,112
104,101
104,111
106,101
106,104
106,111
128,126
128,125
128,101
128,123
128,130
119,104
119,113
119,128
119,123
129,130
129,125
129,126
129,123
125,123
125,128
125,126
125,130
112,111
112,109
112,104
112,113
112,124
116,115
116,118
116,107
116,120
115,116
115,109
115,122
115,106
115,101
103,104
103,120
122,120
122,124
122,123
122,125
122,121
123,122
123,124
123,120
123,126
123,125
